UIC RailLexic - Export;;;;;;;;;;;;;FIENDEFR;-4
Initial search request: in Finnish NBI in, date:17.05.2013 (NO, DA, HU 9.2.2016);;;;;;;;;;;;;;-3
Languages and Fields: ;;;;;;;;;;;;;;-2
;;;;;;;;;;;;;;
RailLexicID;FI: term;FI: usageNote;EN: term;EN: usageNote;DE: term;DE: usageNote;SV: term;SV: usageNote;NO: term;NO: usageNote;DA: term;DA: usageNote;REMO;0
ID997530;1-kärkinen: kääntyväkärkinen 1-kärkinen risteys;;crossing with moveable point;common crossing;Herzstück mit beweglicher Spitze;einfaches Herzstück;korsning med rörlig spets;;skinnekryss med bevegelig krysspiss;;krydsning med bevægelig hjertespids;;;1
ID997531;;;moveable point frog;;;;;;;;;;;2
;;;;;;;;;;;;;;3
ID017390;yksikärkinen risteys;;common crossing;;einfaches Herzstück;;enkel växelkorsning;;enkelt kryss;;enkeltkrydsning;;;4
ID017391;1-kärkinen risteys;;frog;;Herzstück;;växelkorsning;;;;krydsning;;;5
;;;;;;;;;;;;;;6
ID099120;ensimmäisen luokan henkilövaunu;;first-class coach;;Reisezugwagen 1. Klasse;;första klass personvagn;;førsteklassevogn;;1. klasses vogn;;;7
ID099121;1. luokan henkilövaunu;päivävaunu;;;Wagen 1. Klasse;;;;1.-klassevogn;;;;;8
;;;;;;;;;;;;;;9
ID098590;toisen luokan henkilövaunu;;second-class coach;;Reisezugwagen 2. Klasse;;andra klass personvagn;;andreklassevogn;;2. klasses vogn;;;10
ID098591;2. luokan henkilövaunu;päivävaunu;standard-class coach;;;;;;2.-klassevogn;;;;;11
;;;;;;;;;;;;;;12
ID017500;kaksikärkinen risteys;;obtuse crossing;;doppeltes Herzstück;;dubbel växelkorsning, dubbelkorsning;;sidekryss;;dobbeltkrydsning;;;13
ID017501;2-kärkinen risteys;;;;Doppelherzstück;;dubbelspetsad korsning;;;;;;;14
;;;;;;;;;;;;;;15
ID095090;rihlojen muodostuminen kiskoon;;short-pitch corrugation;rail;Riffelbildung;;räffelbildning;Genom spårslitage;rifledannelse på skinner;;riffeldannelse på skinner;;;16
ID095091;aaltojenmuodostus: lyhyiden aaltojen muodostus kiskoon;;short pitch corrugation;;Riffel;;;;;;;;;17
ID095092;;;;;Schienenriffel;;;;;;;;;18
;;;;;;;;;;;;;;19
ID102980;aerodynaaminen voima;virroittimen;aerodynamic contact force;pantograph;aerodynamische Anpresskraft;Stromabnehmer;aerodynamiskt upptryck;Strömavtagare;aerodynamisk kontaktkraft;;dynamisk kontakttryk;;;20
;;;;;;;;;;;;;;21
ID044970;aika: lähtöaika;;departure time;;Abfahrtszeit;;avgångstid;;avgangstid;;afgangstid;;;22
ID044971;;;time of departure;;;;;;;;;;;23
;;;;;;;;;;;;;;24
ID044960;aika: tuloaika;;arrival time;;Ankunftszeit;;ankomsttid;;ankomsttid;;ankomsttid;;;25
;;;;;;;;;;;;;;26
ID045180;aikataulu;junan, virkakäyttöön;timetable;train;Fahrplan;Zug;tidtabell;Som den används i olika former av tågledare, lokf etc;tidtabell;;køreplan;;;27
ID045181;;;timings;;;;;;;;;;;28
;;;;;;;;;;;;;;29
ID043570;aikataulu: graafinen aikataulu;;train diagram;;Bildfahrplan;;grafisk tidtabell;;grafisk kjøreplan;;grafisk køreplan;;;30
ID043571;;;;;graphischer Fahrplan;;;;;;;;;31
ID043572;;;;;;;;;;;;;;32
;;;;;;;;;;;;;;33
ID045200;aikataulu: vakioaikataulu;;Basic Interval Timetable;BIT;Taktfahrplan;;styv tidtabell;Med avgång {ankomst} bestämda klockslag;stiv kjøreplan;;stiv køreplan;;;34
ID045201;;;BIT;Basic Interval Timetable;starrer Fahrplan;;reguljär tidtabell (FI);Finlandsvenska;;;;;;35
;;;;;;;;;;;;;;37
ID085320;junien lähtöajat ja -raiteet osoittava taulu;;train departure indicator;;Zugabfahrtstafel;;anslagstidtabell Avgående Tåg;;anviser for avgående tog;;togafgangstavle;;;38
ID085321;aikataulujuliste: junien lähtöajat ja -raiteet osoittava aikataulujuliste;;;;Abfahrtstafel;;;;;;togafgangstabel;;;39
;;;;;;;;;;;;;;40
ID085310;junien saapumisajat ja -raiteet osoittava taulu;;train arrival indicator;;Zugankunftstafel;;anslagstidtabell Ankommande Tåg;;anviser for ankommende tog;;togankomsttavle;;;41
ID085311;aikataulujuliste: junien saapumisajat ja -raiteet osoittava aikataulujuliste;;;;Ankunftstafel;;;;;;;;;42
;;;;;;;;;;;;;;43
ID062150;aikataulukausi;;timetable period;;Fahrplanabschnitt;;tidtabellsperiod;Oftast 12 månader med smärre ändringar höst och vår;tidtabellperiode;;køreplansperiode;;;44
;;;;;;;;;;;;;;45
;;;;;;;;;;;;;;46
ID051470;aikataulukirja;;working timetable;;Buchfahrplan;;tjänstetidtabell;;tjenesterutebok;;tjenestekøreplan;;;47
;;;;;;;;;;;;;;49
ID056340;aikataulumuutos;;timetable amendment;;Fahrplanänderung;;tidtabellsändring;;endring av kjøreplan;;køreplansændring;;;50
ID056341;;;;;;;;;;;;;;51
;;;;;;;;;;;;;;52
ID045870;aikataulusto: yleisölle tarkoitettu rautatieaikataulusto;Turisti;timetable;railway;Fahrplan;Eisenbahn;tidtabell;"Publikation till allmänheten i Sverige: ""Restider""";tidtabell;;køreplan;;;53
ID045871;;;;;Kursbuch;;Restider;Kompletta tåg-, diverse länstrafik-, buss-, båt-förbin;;;;;;54
;;;;;;;;;;;;;;55
ID000140;ajaa myötävaihteen yli;;pass the point trailing;;die Weiche stumpf befahren;;köra genom en medväxel;;kjøre med tungespissen;;befare et sporskifte i medgående retning;;;56
ID000141;;;trail the point;;;;;;;;køre med tungespidsen;;;57
ID000142;;;;;;;;;;;befare et sporskifte medgående;;;58
ID000143;;;;;;;;;;;;;;59
;;;;;;;;;;;;;;60
ID000130;ajaa vastavaihteen yli;ajaa vaihteeseen kielen kärjestä;negotiate a set of facing points;;die Weiche gegen die Spitze befahren;;köra genom en motväxel;;kjøre mot tungespissen;;befare et sporskifte mod spidsen;;;61
